id,breed,breed_2,chonky,height,fur,is_kitten,tail_length,cat_face_only,face_smush,tail_fur,eye_colour_right,eye_colour_left,right_ear_size,left_ear_size,fur_type,comments
Abyssinian_1.jpg,abyssinian,abyssinian,1,1,2,0,2,0,0,1,5,5,5,5,6,
Abyssinian_144.jpg,abyssinian,abyssinian,1,1,2,0,-1,0,0,-1,5,5,4,4,6,
Abyssinian_145.jpg,abyssinian,abyssinian,1,1,2,0,2,0,0,1,5,5,4,4,6,
Abyssinian_146.jpg,abyssinian,abyssinian,1,-1,2,0,-1,0,0,-1,5,5,4,4,6,
Abyssinian_150.jpg,abyssinian,abyssinian,-1,-1,2,0,-1,1,0,-1,5,5,4,4,6,
Abyssinian_152.jpg,abyssinian,abyssinian,-1,-1,2,0,-1,1,0,-1,5,5,-1,4,6,
Abyssinian_153.jpg,abyssinian,abyssinian,1,1,2,0,2,0,0,1,-1,-1,4,4,6,
Abyssinian_178.jpg,abyssinian,abyssinian,0,0,2,1,-1,0,0,-1,3,3,5,5,6,
Abyssinian_179.jpg,abyssinian,abyssinian,1,1,2,0,-1,0,0,-1,5,5,4,4,6,
Abyssinian_184.jpg,abyssinian,abyssinian,1,1,2,0,2,0,0,1,5,5,4,4,6,
Abyssinian_185.jpg,abyssinian,abyssinian,-1,-1,2,0,-1,1,0,-1,3,3,4,4,6,
Abyssinian_192.jpg,abyssinian,abyssinian,-1,-1,2,0,-1,1,0,-1,-1,-1,4,4,6,
Abyssinian_2.jpg,abyssinian,abyssinian,1,2,2,0,1,0,0,1,5,5,4,4,6,
Abyssinian_219.jpg,abyssinian,abyssinian,1,1,2,0,-1,0,0,-1,5,5,4,4,6,
Abyssinian_224.jpg,abyssinian,abyssinian,0,0,2,1,-1,0,0,-1,5,5,5,5,6,
Abyssinian_225.jpg,abyssinian,abyssinian,-1,-1,2,0,-1,0,0,-1,3,3,4,4,6,
Abyssinian_230.jpg,abyssinian,abyssinian,1,1,2,0,2,0,0,1,-1,-1,5,5,6,
Abyssinian_232.jpg,abyssinian,abyssinian,0,0,2,1,-1,0,0,-1,1,1,4,4,6,
Abyssinian_3.jpg,abyssinian,abyssinian,1,1,2,0,2,0,0,1,5,5,4,4,6,
Abyssinian_48.jpg,abyssinian,abyssinian,-1,-1,2,0,-1,1,0,-1,3,3,5,5,6,
Abyssinian_49.jpg,abyssinian,abyssinian,-1,-1,2,0,-1,1,0,-1,3,3,-1,4,6,
Abyssinian_60.jpg,abyssinian,abyssinian,1,0,2,1,-1,0,0,-1,5,5,4,4,6,
Abyssinian_61.jpg,abyssinian,abyssinian,-1,-1,2,0,-1,1,0,-1,-1,-1,4,4,6,
Abyssinian_62.jpg,abyssinian,abyssinian,1,-1,2,0,-1,0,0,-1,5,5,4,4,6,
Abyssinian_63.jpg,abyssinian,abyssinian,1,-1,2,0,-1,0,0,-1,5,5,4,4,6,
Abyssinian_74.jpg,abyssinian,abyssinian,1,-1,2,0,-1,0,0,-1,3,3,4,4,6,
Abyssinian_75.jpg,abyssinian,abyssinian,1,1,2,0,2,0,0,1,5,5,4,4,6,
Abyssinian_77.jpg,abyssinian,abyssinian,1,-1,2,0,-1,0,0,-1,5,5,4,4,6,
Abyssinian_88.jpg,abyssinian,abyssinian,1,1,2,0,2,0,0,1,5,5,4,4,6,
Abyssinian_89.jpg,abyssinian,abyssinian,1,-1,2,0,-1,0,0,-1,5,5,4,4,6,
Abyssinian-16485182_247.jpg,abyssinian,abyssinian,1,1,2,0,2,0,0,1,5,5,4,4,6,
Abyssinian-38554587_227.jpg,abyssinian,abyssinian,1,1,2,0,-1,0,0,-1,5,5,4,4,6,
Abyssinian-39500951_206.jpg,abyssinian,abyssinian,1,-1,2,0,-1,0,0,-1,5,5,4,4,6,
Abyssinian-42991210_136.jpg,abyssinian,abyssinian,1,-1,2,0,-1,0,0,-1,5,5,4,4,6,
Abyssinian-44927473_101.jpg,abyssinian,abyssinian,1,1,2,0,2,0,0,1,2,2,4,4,6,
Abyssinian-45537021_88.jpg,abyssinian,abyssinian,1,1,2,0,-1,0,0,-1,2,2,4,4,6,
